booking_id,guest_age,age_group,guest_type,region,booking_channel,room_type,number_of_guests,number_of_nights,lead_time_days,average_daily_rate,special_requests,previous_cancellations,deposit_type,is_weekend_stay,booking_cancelled
H0001,25,18-25,Family,West,Online Travel Agency,Standard,2,5,50,298.33,4,2,No Deposit,No,1
H0002,29,26-35,Couple,East,Corporate,Standard,1,10,226,358.85,2,0,No Deposit,No,1
H0003,47,36-50,Family,East,Phone,Standard,1,9,15,304.06,3,0,No Deposit,Yes,0
H0004,68,51+,Family,North,Online Travel Agency,Standard,2,5,120,249.4,3,0,No Deposit,Yes,0
H0005,60,51+,Business,North,Online Travel Agency,Deluxe,3,7,102,356.47,1,0,No Deposit,Yes,1
H0006,44,36-50,Couple,North,Phone,Standard,3,2,1,409.92,3,0,No Deposit,Yes,0
H0007,61,51+,Family,East,Online Travel Agency,Suite,3,9,216,165.16,0,0,No Deposit,Yes,1
H0008,52,51+,Solo,West,Online Travel Agency,Standard,4,3,152,283.36,1,0,No Deposit,Yes,1
H0009,58,51+,Family,East,Corporate,Standard,4,9,215,221.13,1,0,No Deposit,Yes,1
H0010,43,36-50,Business,South,Phone,Standard,4,9,95,134.93,1,0,Partial Deposit,Yes,0
H0011,57,51+,Couple,South,Direct,Standard,5,1,68,267.97,3,0,Non-refundable,Yes,0
H0012,57,51+,Business,South,Direct,Suite,1,10,110,382.56,1,0,No Deposit,Yes,0
H0013,55,51+,Solo,West,Online Travel Agency,Standard,3,1,153,275.33,1,0,Non-refundable,Yes,0
H0014,77,51+,Solo,South,Online Travel Agency,Standard,5,7,253,253.4,1,1,Partial Deposit,Yes,1
H0015,22,18-25,Solo,West,Online Travel Agency,Standard,5,10,42,380.24,0,0,No Deposit,No,0
H0016,36,36-50,Solo,North,Corporate,Standard,3,1,230,310.04,3,1,No Deposit,No,1
H0017,25,18-25,Solo,East,Phone,Standard,3,2,134,302.2,1,0,Partial Deposit,No,0
H0018,37,36-50,Family,South,Online Travel Agency,Standard,4,12,126,366.47,2,3,Partial Deposit,No,1
H0019,48,36-50,Family,North,Online Travel Agency,Deluxe,3,2,42,384.92,4,0,Non-refundable,Yes,0
H0020,44,36-50,Couple,South,Online Travel Agency,Deluxe,2,5,147,381.46,4,0,Partial Deposit,Yes,1
H0021,40,36-50,Solo,East,Direct,Standard,3,12,20,139.66,5,0,No Deposit,Yes,0
H0022,49,36-50,Business,East,Online Travel Agency,Standard,1,4,19,195.27,4,1,Partial Deposit,Yes,0
H0023,33,26-35,Couple,South,Online Travel Agency,Standard,4,4,48,369.94,5,1,No Deposit,Yes,0
H0024,44,36-50,Solo,West,Online Travel Agency,Standard,5,4,179,166.13,4,2,No Deposit,Yes,1
H0025,46,36-50,Family,South,Phone,Deluxe,5,3,36,169.07,3,0,Non-refundable,Yes,0
H0026,21,18-25,Solo,West,Online Travel Agency,Standard,3,7,84,123.85,1,0,No Deposit,No,0
H0027,24,18-25,Business,North,Online Travel Agency,Suite,3,4,172,163.02,3,0,Non-refundable,No,0
H0028,44,36-50,Couple,East,Direct,Deluxe,4,3,248,321.62,2,0,No Deposit,Yes,0
H0029,29,26-35,Couple,South,Online Travel Agency,Deluxe,5,11,32,191.43,2,0,No Deposit,Yes,0
H0030,56,51+,Couple,South,Online Travel Agency,Deluxe,4,2,31,364.82,1,0,Partial Deposit,No,0
H0031,35,26-35,Family,North,Online Travel Agency,Standard,3,8,221,158.45,5,0,No Deposit,Yes,1
H0032,22,18-25,Family,East,Online Travel Agency,Standard,3,2,45,78.61,2,0,Non-refundable,Yes,0
H0033,50,36-50,Business,North,Online Travel Agency,Deluxe,4,9,59,77.15,0,0,No Deposit,Yes,0
H0034,68,51+,Solo,North,Direct,Suite,5,3,201,382.23,4,0,No Deposit,Yes,1
H0035,61,51+,Couple,North,Corporate,Standard,5,4,29,324.4,3,1,No Deposit,Yes,0
H0036,38,36-50,Business,South,Online Travel Agency,Standard,2,8,115,129.59,5,2,Partial Deposit,No,1
H0037,20,18-25,Business,West,Online Travel Agency,Deluxe,4,4,72,400.98,2,0,No Deposit,Yes,1
H0038,29,26-35,Couple,East,Corporate,Deluxe,3,4,97,276.47,2,1,Partial Deposit,Yes,1
H0039,38,36-50,Business,North,Online Travel Agency,Standard,4,3,10,153.57,1,1,No Deposit,No,1
H0040,19,18-25,Family,South,Direct,Standard,3,10,183,116.13,2,1,Non-refundable,No,0
